                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1042,                 2.9831,                 1.5504,                 0.4845,                0.48958,                0.46097,                0.24886,                 1.4469,                 2.7422,                 2.0574,             0.00020727,             0.00020727,             0.00020727
                      2,                  1.159,                 1.9575,                 1.5784,                0.59709,                0.45505,                0.47811,                0.25562,                 1.4614,                 2.2449,                 2.1412,             0.00041355,             0.00041355,             0.00041355
                      3,                  1.218,                 1.9465,                 1.6143,                0.46633,                 0.5026,                0.46319,                0.25276,                 1.4247,                 2.0246,                  2.041,             0.00061776,             0.00061776,             0.00061776
                      4,                 1.2254,                 1.9159,                 1.6386,                0.51238,                0.51884,                0.50332,                0.25707,                 1.6029,                 2.1259,                 2.1884,             0.00061572,             0.00061572,             0.00061572
                      5,                 1.2083,                 1.7994,                 1.6063,                0.48388,                0.47069,                0.45215,                0.24377,                 1.4384,                 2.0948,                 2.0839,             0.00061262,             0.00061262,             0.00061262
                      6,                 1.1696,                 1.7248,                 1.5811,                0.54669,                0.57921,                0.57852,                 0.3202,                 1.3926,                 1.7871,                 1.9732,             0.00060953,             0.00060953,             0.00060953
                      7,                 1.1417,                 1.6482,                 1.5611,                0.56082,                0.51556,                0.51699,                0.28224,                 1.4779,                 1.9312,                  2.149,             0.00060644,             0.00060644,             0.00060644
                      8,                 1.1268,                 1.5909,                 1.5429,                0.61304,                0.56934,                0.62004,                0.36484,                 1.3524,                 1.6229,                 1.9506,             0.00060334,             0.00060334,             0.00060334
                      9,                 1.1132,                 1.5212,                 1.5334,                0.65687,                0.63483,                0.67383,                0.41445,                 1.2451,                 1.5556,                 1.8349,             0.00060025,             0.00060025,             0.00060025
                     10,                 1.1086,                 1.4896,                 1.5338,                0.74646,                0.65929,                0.74077,                0.45363,                 1.2532,                 1.2492,                 1.8295,             0.00059716,             0.00059716,             0.00059716
                     11,                 1.0843,                 1.4615,                  1.519,                  0.604,                0.61004,                 0.6636,                0.38257,                 1.3231,                 1.5237,                 1.9068,             0.00059406,             0.00059406,             0.00059406
                     12,                 1.0711,                 1.4043,                 1.5073,                0.76354,                0.64125,                0.73956,                0.44888,                 1.2935,                 1.2943,                 1.8639,             0.00059097,             0.00059097,             0.00059097
                     13,                 1.0561,                 1.3706,                 1.4928,                0.73411,                 0.6347,                0.72394,                0.45792,                 1.2168,                 1.3161,                 1.7989,             0.00058787,             0.00058787,             0.00058787
                     14,                 1.0454,                 1.3605,                 1.4853,                0.76895,                0.64518,                0.74141,                0.45002,                 1.3102,                 1.3064,                 1.9066,             0.00058478,             0.00058478,             0.00058478
                     15,                 1.0229,                 1.3221,                 1.4662,                 0.6725,                0.63963,                0.69689,                0.43264,                 1.2675,                 1.3595,                 1.8304,             0.00058169,             0.00058169,             0.00058169
                     16,                 1.0214,                 1.2927,                 1.4647,                0.81135,                0.65564,                0.76573,                0.48726,                 1.2245,                 1.1229,                 1.7945,             0.00057859,             0.00057859,             0.00057859
                     17,                 1.0073,                 1.2656,                 1.4495,                0.69788,                0.69062,                0.72689,                0.46178,                 1.2063,                 1.2796,                 1.7862,              0.0005755,              0.0005755,              0.0005755
                     18,                 0.9993,                 1.2375,                 1.4482,                0.74992,                0.70571,                0.77098,                0.49654,                 1.1778,                 1.1463,                 1.7398,             0.00057241,             0.00057241,             0.00057241
                     19,                0.97269,                 1.2038,                 1.4313,                0.70347,                0.70207,                0.76169,                0.47434,                 1.2288,                 1.1933,                 1.8094,             0.00056931,             0.00056931,             0.00056931
                     20,                0.99355,                 1.1918,                 1.4432,                0.71129,                0.68935,                0.75253,                0.46781,                 1.2627,                 1.2505,                 1.8314,             0.00056622,             0.00056622,             0.00056622
                     21,                0.96632,                 1.1815,                 1.4241,                0.77299,                0.69692,                0.77374,                0.50349,                 1.1601,                  1.153,                 1.7345,             0.00056313,             0.00056313,             0.00056313
                     22,                0.96196,                 1.1456,                 1.4194,                0.73263,                0.68405,                0.75583,                0.48432,                 1.1815,                 1.1672,                 1.7671,             0.00056003,             0.00056003,             0.00056003
                     23,                0.94814,                 1.1268,                 1.4127,                0.79959,                0.73234,                0.80655,                0.51322,                 1.2221,                 1.0432,                 1.8017,             0.00055694,             0.00055694,             0.00055694
                     24,                0.96067,                 1.1255,                 1.4114,                0.75319,                 0.6983,                0.78011,                0.51901,                 1.1342,                 1.1052,                 1.6833,             0.00055384,             0.00055384,             0.00055384
                     25,                0.95263,                  1.097,                 1.4118,                0.77155,                0.70588,                0.79295,                0.53074,                 1.0859,                 1.0904,                 1.6514,             0.00055075,             0.00055075,             0.00055075
                     26,                0.95746,                 1.1094,                 1.4152,                 0.7703,                0.73227,                 0.8031,                0.52697,                 1.1696,                 1.0914,                 1.7125,             0.00054766,             0.00054766,             0.00054766
                     27,                0.92589,                  1.042,                 1.3843,                0.79796,                0.71503,                 0.8019,                0.52653,                 1.1269,                 1.0537,                 1.7017,             0.00054456,             0.00054456,             0.00054456
                     28,                0.93201,                  1.053,                 1.3987,                0.80571,                0.73136,                0.81541,                0.55081,                 1.1064,                 1.0208,                 1.6761,             0.00054147,             0.00054147,             0.00054147
                     29,                0.91768,                 1.0538,                  1.389,                0.77882,                0.76299,                0.81871,                0.54479,                 1.1339,                  1.009,                 1.6797,             0.00053838,             0.00053838,             0.00053838
                     30,                0.91906,                  1.035,                  1.387,                0.81775,                0.72872,                0.81697,                0.53681,                 1.1442,                0.97973,                 1.6965,             0.00053528,             0.00053528,             0.00053528
                     31,                0.91849,                  1.016,                 1.3849,                0.82477,                0.76143,                0.83104,                0.55511,                 1.1145,                0.93518,                  1.691,             0.00053219,             0.00053219,             0.00053219
                     32,                0.90255,                 1.0144,                 1.3753,                0.83963,                0.74531,                0.82708,                 0.5523,                 1.1061,                0.97438,                 1.6781,             0.00052909,             0.00052909,             0.00052909
                     33,                0.90835,                0.99556,                 1.3719,                0.79266,                0.72918,                0.80909,                0.54682,                 1.0958,                 1.0535,                 1.6856,               0.000526,               0.000526,               0.000526
                     34,                0.89843,                0.99307,                 1.3717,                0.79256,                0.76511,                0.83215,                0.55318,                 1.1117,                0.92943,                 1.6875,             0.00052291,             0.00052291,             0.00052291
                     35,                0.90601,                0.97251,                 1.3785,                0.82547,                0.77098,                0.83902,                0.56563,                  1.104,                0.91649,                 1.6761,             0.00051981,             0.00051981,             0.00051981
