                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.55355,                0.46476,                  1.118,                0.88445,                0.81212,                0.88087,                0.61519,                 1.0175,                0.77466,                 1.6512,             0.00020727,             0.00020727,             0.00020727
                      2,                0.61403,                0.52753,                  1.154,                0.87649,                0.77981,                0.85604,                0.59441,                 1.0093,                0.77903,                  1.593,             0.00041355,             0.00041355,             0.00041355
                      3,                0.64172,                0.54984,                 1.1713,                0.85154,                0.79824,                0.85974,                0.59445,                  1.021,                0.79771,                  1.642,             0.00061776,             0.00061776,             0.00061776
                      4,                0.63234,                0.55479,                 1.1712,                0.87583,                0.79299,                0.85471,                0.59338,                 1.0503,                0.75095,                 1.6645,             0.00061572,             0.00061572,             0.00061572
                      5,                0.64497,                0.56841,                 1.1706,                0.86113,                0.79999,                0.85336,                0.57899,                 1.0478,                0.97998,                 1.6577,             0.00061262,             0.00061262,             0.00061262
                      6,                0.64621,                0.56472,                 1.1744,                0.79343,                0.79198,                0.83924,                 0.5691,                 1.0477,                 0.8624,                 1.6586,             0.00060953,             0.00060953,             0.00060953
                      7,                0.64657,                0.56057,                  1.171,                0.88209,                 0.8096,                0.86655,                0.59671,                 1.0437,                0.75758,                 1.6734,             0.00060644,             0.00060644,             0.00060644
                      8,                0.63572,                0.54627,                 1.1647,                0.77339,                0.77255,                0.81767,                0.55912,                 1.0502,                0.88434,                 1.6554,             0.00060334,             0.00060334,             0.00060334
                      9,                0.64794,                0.56686,                 1.1723,                0.88082,                0.79337,                0.86015,                0.59117,                 1.0311,                0.77902,                 1.6481,             0.00060025,             0.00060025,             0.00060025
                     10,                0.64961,                0.57023,                 1.1762,                0.85059,                 0.7681,                0.84241,                0.57436,                 1.0487,                0.80534,                 1.6655,             0.00059716,             0.00059716,             0.00059716
                     11,                0.64003,                0.56813,                 1.1718,                0.88492,                 0.7619,                0.85132,                0.58516,                 1.0464,                0.91545,                 1.6724,             0.00059406,             0.00059406,             0.00059406
                     12,                0.64088,                0.57275,                 1.1699,                0.86748,                0.78943,                0.85541,                0.59084,                 1.0548,                0.77459,                 1.6879,             0.00059097,             0.00059097,             0.00059097
                     13,                0.63078,                 0.5428,                 1.1627,                0.83164,                0.76419,                0.83418,                0.57858,                 1.0197,                0.95768,                 1.6404,             0.00058787,             0.00058787,             0.00058787
                     14,                 0.6382,                0.55319,                 1.1699,                0.87475,                0.74506,                0.83567,                0.57539,                 1.0752,                0.88481,                 1.7156,             0.00058478,             0.00058478,             0.00058478
                     15,                0.65674,                0.57556,                 1.1809,                0.84945,                0.77917,                0.83484,                0.56701,                  1.065,                0.85637,                 1.6857,             0.00058169,             0.00058169,             0.00058169
                     16,                0.66213,                0.59273,                 1.1821,                0.84758,                0.79726,                0.85342,                0.58655,                 1.0408,                0.84468,                 1.6436,             0.00057859,             0.00057859,             0.00057859
                     17,                0.64776,                0.57675,                 1.1717,                0.86553,                 0.7624,                  0.842,                0.58124,                 1.0506,                0.80872,                 1.6843,              0.0005755,              0.0005755,              0.0005755
                     18,                 0.6402,                0.57014,                 1.1682,                0.87806,                0.78174,                0.85977,                0.58349,                 1.0549,                0.79297,                 1.6653,             0.00057241,             0.00057241,             0.00057241
                     19,                0.63946,                0.57226,                 1.1721,                0.86157,                0.80179,                0.85447,                0.59217,                 1.0295,                0.81862,                 1.6576,             0.00056931,             0.00056931,             0.00056931
                     20,                0.65532,                0.56913,                 1.1801,                0.85893,                0.78093,                0.84394,                0.57838,                 1.0606,                0.78847,                 1.6778,             0.00056622,             0.00056622,             0.00056622
                     21,                0.64176,                0.56453,                   1.17,                0.84809,                0.79717,                0.86256,                0.60244,                 1.0325,                0.78991,                 1.6412,             0.00056313,             0.00056313,             0.00056313
                     22,                0.63375,                0.54813,                  1.164,                0.87296,                0.79412,                0.85532,                0.59812,                 1.0392,                0.75411,                 1.6793,             0.00056003,             0.00056003,             0.00056003
                     23,                0.62637,                0.54766,                 1.1607,                 0.8603,                0.77011,                 0.8482,                0.58413,                 1.0508,                0.78762,                 1.6869,             0.00055694,             0.00055694,             0.00055694
                     24,                 0.6373,                0.55657,                 1.1607,                0.82922,                0.79559,                0.84993,                0.58127,                 1.0584,                0.80951,                 1.6833,             0.00055384,             0.00055384,             0.00055384
                     25,                0.63438,                0.54998,                 1.1682,                0.87338,                0.80181,                0.87774,                0.60919,                 1.0286,                0.73015,                 1.6506,             0.00055075,             0.00055075,             0.00055075
